2026-01-04 08:09:59.660 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:06:25.064 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:06:25.064 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 11:06:25.089 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
2026-01-04 11:06:25.096 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:06:25.097 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 11:06:25.103 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2026-01-04 11:06:25.588 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-01-04 11:06:25.595 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 11:06:25.595 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 11:06:25.632 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 11:06:25.632 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1068 ms
2026-01-04 11:06:25.787 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 11:06:25.813 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 11:06:25.830 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 11:06:25.943 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 11:06:25.967 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 11:06:26.068 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@3f71ae7f
2026-01-04 11:06:26.070 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 11:06:26.093 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 11:06:26.257 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 11:06:26.260 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:06:26.765 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 11:06:26.805 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 11:06:26.823 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: b9d38cb4-0635-4b03-b212-fd8e038b5b63

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-01-04 11:06:27.000 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3df496d9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@13e12ab6, org.springframework.security.web.context.SecurityContextHolderFilter@794b139b, org.springframework.security.web.header.HeaderWriterFilter@1f40bb80, org.springframework.web.filter.CorsFilter@5bafe1f1, org.springframework.security.web.authentication.logout.LogoutFilter@19cad9f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1902ad0f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@63bb52ea, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5be783a, org.springframework.security.web.access.ExceptionTranslationFilter@996126b, org.springframework.security.web.access.intercept.AuthorizationFilter@2ed9e59b]
2026-01-04 11:06:27.377 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/api'
2026-01-04 11:06:27.386 [main] INFO  com.material.system.MaterialSystemApplication - Started MaterialSystemApplication in 3.092 seconds (process running for 3.293)
2026-01-04 11:06:42.712 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:06:42.712 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 11:06:42.712 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 11:19:31.346 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 17832 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 11:19:31.347 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 11:19:31.347 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 11:19:31.868 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:19:31.869 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 11:19:31.881 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
2026-01-04 11:19:31.887 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:19:31.888 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 11:19:31.894 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2026-01-04 11:19:32.339 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-01-04 11:19:32.346 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 11:19:32.346 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 11:19:32.382 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 11:19:32.382 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1006 ms
2026-01-04 11:19:32.530 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 11:19:32.554 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 11:19:32.569 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 11:19:32.673 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 11:19:32.685 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 11:19:32.765 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@7e451790
2026-01-04 11:19:32.766 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 11:19:32.788 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 11:19:32.939 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 11:19:32.942 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:19:33.430 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 11:19:33.459 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 11:19:33.477 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 6c2cc9da-0fa7-45dc-bf7f-ea8f94feb803

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-01-04 11:19:33.640 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@13e12ab6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5bafe1f1, org.springframework.security.web.context.SecurityContextHolderFilter@77217c17, org.springframework.security.web.header.HeaderWriterFilter@c42ee90, org.springframework.web.filter.CorsFilter@5be783a, org.springframework.security.web.authentication.logout.LogoutFilter@4cce421e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@653fbbfc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f5df147, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c65740a, org.springframework.security.web.access.ExceptionTranslationFilter@6d2413e, org.springframework.security.web.access.intercept.AuthorizationFilter@66790851]
2026-01-04 11:19:33.991 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/api'
2026-01-04 11:19:34.000 [main] INFO  com.material.system.MaterialSystemApplication - Started MaterialSystemApplication in 2.903 seconds (process running for 3.106)
2026-01-04 11:20:33.160 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:20:33.160 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 11:20:33.171 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 11:20:52.573 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 20316 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 11:20:52.574 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 11:20:52.574 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 11:20:53.106 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:20:53.108 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 11:20:53.120 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
2026-01-04 11:20:53.126 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:20:53.127 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 11:20:53.133 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2026-01-04 11:20:53.576 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-01-04 11:20:53.583 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 11:20:53.583 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 11:20:53.618 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 11:20:53.619 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1021 ms
2026-01-04 11:20:53.771 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 11:20:53.795 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 11:20:53.812 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 11:20:53.934 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 11:20:53.947 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 11:20:54.031 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@3f71ae7f
2026-01-04 11:20:54.032 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 11:20:54.058 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 11:20:54.211 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 11:20:54.214 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:20:54.701 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 11:20:54.732 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 11:20:54.755 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 946153a5-bf50-4583-a36d-32b43dd9a00a

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-01-04 11:20:54.921 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3df496d9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@13e12ab6, org.springframework.security.web.context.SecurityContextHolderFilter@794b139b, org.springframework.security.web.header.HeaderWriterFilter@1f40bb80, org.springframework.web.filter.CorsFilter@5bafe1f1, org.springframework.security.web.authentication.logout.LogoutFilter@19cad9f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1902ad0f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@63bb52ea, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5be783a, org.springframework.security.web.access.ExceptionTranslationFilter@996126b, org.springframework.security.web.access.intercept.AuthorizationFilter@2ed9e59b]
2026-01-04 11:20:55.284 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/api'
2026-01-04 11:20:55.293 [main] INFO  com.material.system.MaterialSystemApplication - Started MaterialSystemApplication in 2.955 seconds (process running for 3.149)
2026-01-04 11:21:28.926 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 11:21:28.926 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 11:21:28.941 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 11:23:58.429 [main] INFO  com.material.system.SysUserIntegrationTest - Starting SysUserIntegrationTest using Java 19.0.2 with PID 16148 (started by Administrator in C:\workplace\cangku\backend)
2026-01-04 11:23:58.429 [main] DEBUG com.material.system.SysUserIntegrationTest - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 11:23:58.429 [main] INFO  com.material.system.SysUserIntegrationTest - The following 1 profile is active: "test"
2026-01-04 11:23:59.106 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:23:59.107 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 11:23:59.121 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 JPA repository interfaces.
2026-01-04 11:23:59.131 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 11:23:59.131 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 11:23:59.138 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2026-01-04 11:23:59.780 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-01-04 11:23:59.795 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 11:23:59.795 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 11:23:59.843 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 11:23:59.843 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1406 ms
2026-01-04 11:24:00.047 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 11:24:00.171 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-01-04 11:24:00.171 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 11:24:00.187 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSourceScriptDatabaseInitializer' defined in class path resource [org/springframework/boot/autoconfigure/sql/init/DataSourceInitializationConfiguration.class]: Failed to execute SQL script statement #1 of class path resource [db/schema.sql]: CREATE DATABASE IF NOT EXISTS material_system DEFAULT CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_ci
2026-01-04 11:24:00.187 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 11:24:00.187 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 11:24:00.187 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-01-04 11:24:00.213 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-01-04 11:24:00.223 [main] ERROR org.springframework.boot.SpringApplication - Application run failed
org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSourceScriptDatabaseInitializer' defined in class path resource [org/springframework/boot/autoconfigure/sql/init/DataSourceInitializationConfiguration.class]: Failed to execute SQL script statement #1 of class path resource [db/schema.sql]: CREATE DATABASE IF NOT EXISTS material_system DEFAULT CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_ci
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1773)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:599)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:521)
	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:325)
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:323)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:199)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:312)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:199)
	at org.springframework.context.support.AbstractApplicationContext.getBean(AbstractApplicationContext.java:1231)
	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:949)
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:624)
	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:146)
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:754)
	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:456)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:334)
	at org.springframework.boot.test.context.SpringBootContextLoader.lambda$loadContext$3(SpringBootContextLoader.java:137)
	at org.springframework.util.function.ThrowingSupplier.get(ThrowingSupplier.java:58)
	at org.springframework.util.function.ThrowingSupplier.get(ThrowingSupplier.java:46)
	at org.springframework.boot.SpringApplication.withHook(SpringApplication.java:1454)
	at org.springframework.boot.test.context.SpringBootContextLoader$ContextLoaderHook.run(SpringBootContextLoader.java:552)
	at org.springframework.boot.test.context.SpringBootContextLoader.loadContext(SpringBootContextLoader.java:137)
	at org.springframework.boot.test.context.SpringBootContextLoader.loadContext(SpringBootContextLoader.java:108)
	at org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate.loadContextInternal(DefaultCacheAwareContextLoaderDelegate.java:225)
	at org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate.loadContext(DefaultCacheAwareContextLoaderDelegate.java:152)
	at org.springframework.test.context.support.DefaultTestContext.getApplicationContext(DefaultTestContext.java:130)
	at org.springframework.test.context.support.DependencyInjectionTestExecutionListener.injectDependencies(DependencyInjectionTestExecutionListener.java:142)
	at org.springframework.test.context.support.DependencyInjectionTestExecutionListener.prepareTestInstance(DependencyInjectionTestExecutionListener.java:98)
	at org.springframework.test.context.TestContextManager.prepareTestInstance(TestContextManager.java:260)
	at org.springframework.test.context.junit.jupiter.SpringExtension.postProcessTestInstance(SpringExtension.java:163)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.lambda$invokeTestInstancePostProcessors$10(ClassBasedTestDescriptor.java:378)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.executeAndMaskThrowable(ClassBasedTestDescriptor.java:383)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.lambda$invokeTestInstancePostProcessors$11(ClassBasedTestDescriptor.java:378)
	at java.base/java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:197)
	at java.base/java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:179)
	at java.base/java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1625)
	at java.base/java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:509)
	at java.base/java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:499)
	at java.base/java.util.stream.StreamSpliterators$WrappingSpliterator.forEachRemaining(StreamSpliterators.java:310)
	at java.base/java.util.stream.Streams$ConcatSpliterator.forEachRemaining(Streams.java:735)
	at java.base/java.util.stream.Streams$ConcatSpliterator.forEachRemaining(Streams.java:734)
	at java.base/java.util.stream.ReferencePipeline$Head.forEach(ReferencePipeline.java:762)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.invokeTestInstancePostProcessors(ClassBasedTestDescriptor.java:377)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.lambda$instantiateAndPostProcessTestInstance$6(ClassBasedTestDescriptor.java:290)
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.instantiateAndPostProcessTestInstance(ClassBasedTestDescriptor.java:289)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.lambda$testInstancesProvider$4(ClassBasedTestDescriptor.java:279)
	at java.base/java.util.Optional.orElseGet(Optional.java:364)
	at org.junit.jupiter.engine.descriptor.ClassBasedTestDescriptor.lambda$testInstancesProvider$5(ClassBasedTestDescriptor.java:278)
	at org.junit.jupiter.engine.execution.TestInstancesProvider.getTestInstances(TestInstancesProvider.java:31)
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.lambda$prepare$0(TestMethodTestDescriptor.java:106)
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73)
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.prepare(TestMethodTestDescriptor.java:105)
	at org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor.prepare(TestMethodTestDescriptor.java:69)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.lambda$prepare$2(NodeTestTask.java:123)
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.prepare(NodeTestTask.java:123)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.execute(NodeTestTask.java:90)
	at java.base/java.util.ArrayList.forEach(ArrayList.java:1511)
	at org.junit.platform.engine.support.hierarchical.SameThreadHierarchicalTestExecutorService.invokeAll(SameThreadHierarchicalTestExecutorService.java:41)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.lambda$executeRecursively$6(NodeTestTask.java:155)
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.lambda$executeRecursively$8(NodeTestTask.java:141)
	at org.junit.platform.engine.support.hierarchical.Node.around(Node.java:137)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.lambda$executeRecursively$9(NodeTestTask.java:139)
	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.executeRecursively(NodeTestTask.java:138)
	at org.junit.platform.engine.support.hierarchical.NodeTestTask.execute(NodeTestTask.java:95)
	at java.base/java.util.ArrayList.forEach(ArrayList.java:1511)
